Teff	rho0
789.764765	2.362280
787.637638	2.372650
785.510511	2.383013
783.383383	2.393367
781.256256	2.403714
779.129129	2.414055
777.002002	2.424391
774.874875	2.434721
772.747748	2.445047
770.620621	2.455369
768.493493	2.465688
766.366366	2.476005
764.239239	2.486321
762.112112	2.496635
759.984985	2.506950
757.857858	2.517265
755.730731	2.527581
753.603604	2.537899
751.476476	2.548219
749.349349	2.558543
747.222222	2.568871
745.095095	2.579203
742.967968	2.589540
740.840841	2.599884
738.713714	2.610234
736.586587	2.620592
734.459459	2.630957
732.332332	2.641331
730.205205	2.651715
728.078078	2.662109
725.950951	2.672514
723.823824	2.682930
721.696697	2.693358
719.569570	2.703799
717.442442	2.714254
715.315315	2.724723
713.188188	2.735207
711.061061	2.745706
708.933934	2.756222
706.806807	2.766755
704.679680	2.777305
702.552553	2.787874
700.425425	2.798462
698.298298	2.809069
696.171171	2.819697
694.044044	2.830346
691.916917	2.841017
689.789790	2.851710
687.662663	2.862427
685.535536	2.873167
683.408408	2.883932
681.281281	2.894722
679.154154	2.905538
677.027027	2.916381
674.899900	2.927251
672.772773	2.938149
670.645646	2.949075
668.518519	2.960031
666.391391	2.971017
664.264264	2.982034
662.137137	2.993082
660.010010	3.004162
657.882883	3.015275
655.755756	3.026421
653.628629	3.037602
651.501502	3.048817
649.374374	3.060068
647.247247	3.071356
645.120120	3.082680
642.992993	3.094041
640.865866	3.105441
638.738739	3.116880
636.611612	3.128359
634.484484	3.139878
632.357357	3.151438
630.230230	3.163040
628.103103	3.174684
625.975976	3.186371
623.848849	3.198102
621.721722	3.209878
619.594595	3.221699
617.467467	3.233565
615.340340	3.245478
613.213213	3.257438
611.086086	3.269447
608.958959	3.281503
606.831832	3.293609
604.704705	3.305765
602.577578	3.317972
600.450450	3.330230
598.323323	3.342540
596.196196	3.354903
594.069069	3.367319
591.941942	3.379789
589.814815	3.392314
587.687688	3.404895
585.560561	3.417532
583.433433	3.430225
581.306306	3.442976
579.179179	3.455785
577.052052	3.468654
574.924925	3.481581
572.797798	3.494569
570.670671	3.507618
568.543544	3.520729
566.416416	3.533902
564.289289	3.547138
562.162162	3.560438
560.035035	3.573802
557.907908	3.587231
555.780781	3.600726
553.653654	3.614288
551.526527	3.627916
549.399399	3.641613
547.272272	3.655378
545.145145	3.669212
543.018018	3.683116
540.890891	3.697091
538.763764	3.711137
536.636637	3.725255
534.509510	3.739445
532.382382	3.753709
530.255255	3.768047
528.128128	3.782460
526.001001	3.796948
523.873874	3.811512
521.746747	3.826153
519.619620	3.840871
517.492492	3.855668
515.365365	3.870543
513.238238	3.885498
511.111111	3.900533
508.983984	3.915649
506.856857	3.930846
504.729730	3.946126
502.602603	3.961489
500.475475	3.976935
498.348348	3.992466
496.221221	4.008082
494.094094	4.023783
491.966967	4.039571
489.839840	4.055446
487.712713	4.071409
485.585586	4.087460
483.458458	4.103601
481.331331	4.119831
479.204204	4.136151
477.077077	4.152563
474.949950	4.169067
472.822823	4.185663
470.695696	4.202353
468.568569	4.219137
466.441441	4.236015
464.314314	4.252988
462.187187	4.270058
460.060060	4.287224
457.932933	4.304488
455.805806	4.321850
453.678679	4.339310
451.551552	4.356870
449.424424	4.374530
447.297297	4.392291
445.170170	4.410154
443.043043	4.428118
440.915916	4.446186
438.788789	4.464357
436.661662	4.482632
434.534535	4.501012
432.407407	4.519498
430.280280	4.538091
428.153153	4.556790
426.026026	4.575597
423.898899	4.594512
421.771772	4.613537
419.644645	4.632671
417.517518	4.651916
415.390390	4.671272
413.263263	4.690739
411.136136	4.710319
409.009009	4.730013
406.881882	4.749820
404.754755	4.769742
402.627628	4.789779
400.500501	4.809932
398.373373	4.830201
396.246246	4.850588
394.119119	4.871093
391.991992	4.891717
389.864865	4.912460
387.737738	4.933323
385.610611	4.954307
383.483483	4.975412
381.356356	4.996640
379.229229	5.017990
377.102102	5.039464
374.974975	5.061062
372.847848	5.082785
370.720721	5.104633
368.593594	5.126608
366.466466	5.148709
364.339339	5.170939
362.212212	5.193296
360.085085	5.215783
357.957958	5.238399
355.830831	5.261146
353.703704	5.284023
351.576577	5.307033
349.449449	5.330175
347.322322	5.353450
345.195195	5.376859
343.068068	5.400402
340.940941	5.424081
338.813814	5.447895
336.686687	5.471846
334.559560	5.495934
332.432432	5.520161
330.305305	5.544525
328.178178	5.569030
326.051051	5.593674
323.923924	5.618458
321.796797	5.643385
319.669670	5.668453
317.542543	5.693664
315.415415	5.719018
313.288288	5.744517
311.161161	5.770160
309.034034	5.795949
306.906907	5.821884
304.779780	5.847966
302.652653	5.874196
300.525526	5.900574
298.398398	5.927100
296.271271	5.953777
294.144144	5.980603
292.017017	6.007581
289.889890	6.034710
287.762763	6.061992
285.635636	6.089426
283.508509	6.117015
281.381381	6.144758
279.254254	6.172656
277.127127	6.200710
275.000000	6.228920
